"","acquCnt1","acquCnt2","acquCnt3","acquCnt4","acquCnt5","grdNm","jmNm","quart","rank","rgnnm","stdYy","totcnt"
"1","0","0","0","48","28","기능장","전기기능장","4사분기","1","전라남도","2014","76"
"2","0","0","0","21","21","기능장","용접기능장","4사분기","2","전라남도","2014","42"
"3","0","0","0","14","17","기능장","위험물기능장","4사분기","3","전라남도","2014","31"
"4","0","0","0","12","13","기능장","배관기능장","4사분기","4","전라남도","2014","25"
"5","0","0","0","8","17","기능장","에너지관리기능장","4사분기","4","전라남도","2014","25"
"6","0","0","0","7","1","기능장","가스기능장","4사분기","6","전라남도","2014","8"
"7","0","0","0","3","1","기능장","금속재료기능장","4사분기","7","전라남도","2014","4"
"8","0","0","0","2","1","기능장","전자기기기능장","4사분기","8","전라남도","2014","3"
"9","0","0","0","3","0","기능장","기계가공기능장","4사분기","8","전라남도","2014","3"
"10","0","0","0","1","2","기능장","제강기능장","4사분기","8","전라남도","2014","3"
"11","0","0","0","1","1","기능장","조리기능장","4사분기","11","전라남도","2014","2"
"12","0","0","0","1","0","기능장","이용장","4사분기","12","전라남도","2014","1"
"13","0","0","0","0","1","기능장","압연기능장","4사분기","12","전라남도","2014","1"
"14","0","0","0","0","1","기능장","미용장","4사분기","12","전라남도","2014","1"
"15","0","0","0","1","0","기능장","제과기능장","4사분기","12","전라남도","2014","1"
"16","0","0","0","1","0","기능장","제선기능장","4사분기","12","전라남도","2014","1"
